Name,Diameter,Lat,Lon,LonE
Le Verrier,20520,40.33,-20.61,339.39
Innes G,20500,26.87,122.44,122.44
Mutus H,20500,-63.68,24.11,24.11
Brunner P,20490,-12.61,90.3,90.3
Hayford U,20490,13.95,179.81,179.81
Pitiscus D,20490,-49.11,26.55,26.55
Russell B,20490,26.39,-78.3,281.7
Stiborius C,20490,-33.94,33.25,33.25
Stetson G,20480,-40.02,-117.51,242.49
McCool,20470,-41.28,-146.26,213.74
Saenger V,20470,5.25,101.92,101.92
Anders G,20460,-41.81,-142.18,217.82
Boguslawsky G,20460,-71.48,34.35,34.35
Casatus J,20450,-74.35,-32.94,327.06
Boss K,20440,49.53,81.15,81.15
Deluc M,20440,-54.92,-6.32,353.68
Stevinus B,20440,-31.12,52.55,52.55
Lade T,20430,-1.06,8.9,8.9
Tiling C,20430,-50.29,-129.78,230.22
Ukert M,20430,7.99,2.18,2.18
